id,label
artifact-1185435-file-1738559.pdf,artifact-1185435-file-1738559.pdf
artifact-1188191-file-1741315.pdf,artifact-1188191-file-1741315.pdf
artifact-1190753-file-1743877.pdf,artifact-1190753-file-1743877.pdf
artifact-1193237-file-1746362.pdf,artifact-1193237-file-1746362.pdf
artifact-1202799-file-1755913.pdf,artifact-1202799-file-1755913.pdf
artifact-1203109-file-1756218.pdf,artifact-1203109-file-1756218.pdf
artifact-1204147-file-1757256.pdf,artifact-1204147-file-1757256.pdf
artifact-1211321-file-1764432.pdf,artifact-1211321-file-1764432.pdf
artifact-1211936-file-1765036.pdf,artifact-1211936-file-1765036.pdf
artifact-1222493-file-1775570.pdf,artifact-1222493-file-1775570.pdf
artifact-1225396-file-1778468.pdf,artifact-1225396-file-1778468.pdf
artifact-1294280-file-1897485.pdf,artifact-1294280-file-1897485.pdf
artifact-1329267-file-1932558.pdf,artifact-1329267-file-1932558.pdf
artifact-1418182-file-2032451.pdf,artifact-1418182-file-2032451.pdf
artifact-1531938-file-2221696.pdf,artifact-1531938-file-2221696.pdf
artifact-1537792-file-2227603.pdf,artifact-1537792-file-2227603.pdf
artifact-1538060-file-2227871.pdf,artifact-1538060-file-2227871.pdf
artifact-1538337-file-2228148.pdf,artifact-1538337-file-2228148.pdf
artifact-1538362-file-2228173.pdf,artifact-1538362-file-2228173.pdf
artifact-1551483-file-2241292.pdf,artifact-1551483-file-2241292.pdf
artifact-1551484-file-2241293.pdf,artifact-1551484-file-2241293.pdf
artifact-1552409-file-2242218.pdf,artifact-1552409-file-2242218.pdf
artifact-1556883-file-2246692.pdf,artifact-1556883-file-2246692.pdf
artifact-1557849-file-2247658.pdf,artifact-1557849-file-2247658.pdf
artifact-1567677-file-2257458.pdf,artifact-1567677-file-2257458.pdf
artifact-1570727-file-2260459.pdf,artifact-1570727-file-2260459.pdf
artifact-1574349-file-2264123.pdf,artifact-1574349-file-2264123.pdf
artifact-394114-file-1358852.pdf,artifact-394114-file-1358852.pdf
